Municipio,Tensao
Abaíra ,380/220
Abaré ,380/220
Acajutiba ,380/220
Adustina ,380/220
Água Fria ,380/220
Aiquara ,220/127
Alagoinhas ,220/127
Alcobaça ,380/220
Almadina ,220/127
Amargosa ,380/220
Amélia Rodrigues ,220/127
América Dourada ,380/220
Anagé ,380/220
Andaraí ,380/220
Andorinha ,380/220
Angical ,380/220
Anguera ,220/127
Antas ,220/127
Antônio Cardoso ,220/127
Antônio Gonçalves ,380/220
Aporá ,380/220
Apuarema,380/220
Araças ,220/127
Aracatu ,380/220
Araci ,380/220
Aramari,380/220
Arataca ,220/127
Aratuípe ,220/127
Aurelino Leal ,220/127
Baianópolis ,380/220
Baixa Grande ,380/220
Banzaê ,380/220
Barra ,380/220
Barra da Estiva ,380/220
Barra do Choça ,380/220
Barra do Mendes ,380/220
Barra do Rocha ,220/127
Barreiras ,380/220
Barro Alto ,380/220
Barro Preto ,220/127
Barrocas ,380/220
Belmonte ,220/127
Belo Campo ,380/220
Biritinga ,380/220
Boa Nova ,380/220
Boa Vista do Tupim ,380/220
Bom Jesus da Lapa ,220/127
Bom Jesus da Serra ,380/220
Boninal ,380/220
Bonito,380/220
Boquira ,220/127
Botuporã ,380/220
Brejões ,220/127
Brejolândia,380/220
Brotas de Macaúbas ,380/220
Brumado ,380/220
Buerarema ,220/127
Buritirama ,380/220
Caatiba ,380/220
Cabaceiras do Paraguaçu ,220/127
Cachoeira ,220/127
Caculé ,380/220
Caém ,380/220
Caetanos ,380/220
Caetité,380/220
Cafarnaum ,380/220
Cairu ,380/220
Caldeirão Grande ,380/220
Camacan ,380/220
Camaçari ,220/127
Camamu ,380/220
Campo Alegre de Lourdes ,380/220
Campo Formoso ,380/220
Canápolis ,380/220
Canarana ,380/220
Canavieiras ,220/127
Candeal ,380/220
Candeias ,220/127
Candiba ,380/220
Cândido Sales ,380/220
Cansanção ,380/220
Canudos ,380/220
Capela do Alto Alegre ,380/220
Capim Grosso ,380/220
Caraíbas,380/220
Caravelas ,380/220
Cardeal da Silva ,380/220
Carinhanha ,380/220
Casa Nova ,380/220
Castro Alves ,220/127
Catolândia ,380/220
Catu ,380/311
Caturama ,380/220
Central ,380/220
Chorrochó ,380/220
Cícero Dantas ,380/220
Cipó ,220/127
Coaraci ,220/127
Cocos ,380/220
Conceição da Feira ,220/127
Conceição do Almeida ,220/127
Conceição do Coité ,380/220
Conceição do Jacuípe ,220/127
Conde ,380/220
Condeúba ,380/220
Contendas do Sincorá ,380/220
Coração de Maria ,220/127
Cordeiros ,380/220
Coribe ,380/220
Coronel João Sá ,220/127
Correntina ,220/127
Cotegipe ,380/220
Cravolândia ,220/127
Crisópolis ,380/220
Cristópolis,380/220
Cruz das Almas ,220/127
Curaçá ,380/220
Dário Meira ,220/127
Delmiro Gouveia ,220/127
Dias d`Ávila ,220/127
Dom Basílio ,380/220
Dom Macedo Costa ,380/220
Elísio Medrado ,380/220
Encruzilhada ,380/220
Entre Rios ,380/220
Érico Cardoso ,380/220
Esplanada ,380/220
Euclides da Cunha ,380/220
Eunápolis ,220/127
Fátima ,380/220
Feira da Mata ,380/220
Feira de Santana ,220/127
Filadélfia ,380/220
Firmino Alves ,220/127
Floresta Azul ,220/127
Formosa do Rio Preto ,380/220
Gandu ,380/220
Gavião ,380/220
Gentio do Ouro ,380/220
Glória ,380/220
Gongogi ,220/127
Governador Mangabeira ,220/127
Guajeru ,380/220
Guanambi ,380/220
Guaratinga,380/220
Heliópolis ,380/220
Iaçu ,380/220
Ibiassucê ,380/220
Ibicaraí ,220/127
Ibicoara ,380/220
Ibicuí ,220/127
Ibipeba ,380/220
Ibipitanga ,380/220
Ibiquera ,380/220
Ibirapitanga ,220/127
Ibirapuã ,380/220
Ibirataia 220/127,220/127
Ibitiara 380/220,380/220
Ibititá 380/220,380/220
Ibotirama 380/220,380/220
Ichu 380/220,380/220
Igaporã 380/220,380/220
Igrapiúna 380/220,380/220
Iguaí 220/127,220/127
Ilhéus 220/127,220/127
Inhambupe 380/220,380/220
Ipecaetá 220/127,220/127
Ipiaú 220/127,220/127
Ipirá 380/220,380/220
Ipupiara 380/220,380/220
Irajuba 380/220,380/220
Iramaia 380/220,380/220
Iraquara 380/220,380/220
Irará 220/127,220/127
Irecê 380/220,380/220
Itabela 380/220,380/220
Itaberaba 380/220,380/220
Itabuna 220/127,220/127
Itacaré 220/127,220/127
Itaeté 380/220,380/220
Itagi 220/127,220/127
Itagibá 220/127,220/127
Itagimirim 380/220,380/220
Itaguaçu da Bahia 380/220,380/220
Itaju do Colônia 220/127,220/127
Itajuípe 220/127,220/127
Itamaraju 380/220,380/220
Itamari 380/220,380/220
Itambé 380/220,380/220
Itanagra 220/127,220/127
Itanhém 380/220,380/220
Itaparica 220/127,220/127
Itapé 220/127,220/127
Itapebi 380/220,380/220
Itapetinga 380/220,380/220
Itapicuru 380/220,380/220
Itapitanga 220/127,220/127
Itaquara 220/127,220/127
Itarantim 380/220,380/220
Itatim 380/220,380/220
Itiruçu 220/127,220/127
Itiúba 380/220,380/220
Itororó 220/127,220/127
Ituaçu 380/220,380/220
Ituberá 380/220,380/220
Iuiú 380/220,380/220
Jaborandi 380/220,380/220
Jacaraci 380/220,380/220
Jacobina 380/220,220/127
Jaguaquara 220/127,380/429
Jaguarari 380/220,380/220
Jaguaripe 380/220,380/220
Jandaíra 380/220,380/220
Jequié 380/220,380/220
Jeremoabo 380/220,380/220
Jiquiriçá 220/127,220/127
Jitaúna 220/127,220/127
João Dourado 220/380,380/220
Juazeiro 380/220,380/220
Jucuruçu 380/220,380/220
Jussara 380/220,380/220
Jussari 220/127,220/127
Jussiape 380/220,380/220
Lafaiete Coutinho 380/220,380/220
Lagoa Real 380/220,380/220
Laje 380/220,380/220
Lajedão 380/220,380/220
Lajedinho 380/220,380/220
Lajedo do Tabocal 380/220,380/220
Lamarão 380/220,380/220
Lapão 380/220,380/220
Lauro de Freitas 220/127,380/451
Lençóis 380/220,380/220
Licínio de Almeida 380/220,380/220
Livramento de Nossa Senhora 380/220,380/220
Luís Eduardo Magalhães 380/220,380/220
Macajuba 380/220,380/220
Macarani 380/220,380/220
Macaúbas 220/127,220/127
Macururé 380/220,380/220
Madre de Deus 220/127,220/127
Maetinga 380/220,380/220
Maiquinique 380/220,380/220
Mairi 380/220,380/220
Malhada 380/220,380/220
Malhada de Pedras 380/220,380/220
Manoel Vitorino 380/220,380/220
Mansidão 380/220,380/220
Maracás 380/220,380/220
Maragogipe 220/127,220/127
Maraú 380/220,380/220
Marcionílio Souza 380/220,380/220
Mascote 380/220,380/220
Mata de São João 220/127,220/127
Matina 380/220,380/220
Medeiros Neto 380/220,380/220
Miguel Calmon 380/220,380/220
Milagres 380/220,380/220
Mirangaba 380/220,380/220
Mirante 380/220,380/220
Monte Santo 380/220,380/220
Morpará 380/220,380/220
Morro do Chapéu 380/220,380/220
Mortugaba 380/220,380/220
Mucugê 380/220,380/220
Mucuri 380/220,380/220
Mulungu do Morro 380/220,380/220
Mundo Novo 380/220,380/220
Muniz Ferreira 220/127,220/127
Muquém de São Francisco 380/220,380/220
Muritiba 220/127,220/127
Mutuípe 380/220,380/220
Nazaré 220/127,220/127
Nilo Peçanha 380/220,380/220
Nordestina 380/220,380/220
Nova Canaã 220/127,220/127
Nova Fátima 380/220,380/220
Nova Ibiá 380/220,380/220
Nova Itarana 220/127,220/127
Nova Redenção 380/220,380/220
Nova Soure 380/220,380/220
Nova Viçosa 380/220,380/220
Novo Horizonte 380/220,380/220
Novo Triunfo 220/127,220/127
Olindina 380/220,380/220
Oliveira dos Brejinhos 380/220,380/220
Ouriçangas 380/220,380/220
Ourolândia 380/220,380/220
Palmas de Monte Alto 380/220,380/220
Palmeiras 380/220,380/220
Paramirim 380/220,380/220
Paratinga 380/220,380/220
Paripiranga 220/127,220/127
Pau Brasil 380/220,380/220
Paulo Afonso 220/127,220/127
Pé de Serra 380/220,380/220
Pedrão 380/220,380/220
Pedro Alexandre 220/127,220/127
Piatã 380/220,380/220
Pilão Arcado 380/220,380/220
Pindaí 380/220,380/220
Pindobaçu 380/220,380/220
Pintadas 380/220,380/220
Piraí do Norte 380/220,380/220
Piripá 380/220,380/220
Piritiba 380/220,380/220
Planaltino 380/220,380/220
Planalto 380/220,380/220
Poções 380/220,380/220
Pojuca 220/127,220/127
Ponto Novo 380/220,380/220
Porto Seguro 380/220,380/220
Potiraguá 380/220,380/220
Prado 380/220,380/220
Presidente Dutra 380/220,380/220
Presidente Jânio Quadros 380/220,380/220
Presidente Tancredo Neves 380/220,380/220
Queimadas 380/220,380/220
Quijingue 380/220,380/220
Quixabeira 380/220,380/220
Rafael Jambeiro 220/127,220/127
Remanso 380/220,380/220
Retirolândia 380/220,380/220
Riachão das Neves 380/220,380/220
Riachão do Jacuípe 380/220,380/220
Riacho de Santana 380/220,380/220
Ribeira do Amparo 380/220,380/220
Ribeira do Pombal 220/127,220/127
Ribeirão do Largo 380/220,380/220
Rio de Contas 380/220,380/220
Rio do Antônio ,380/220
Rio do Pires ,380/220
Rio Real ,220/127
Rodelas ,380/220
Ruy Barbosa ,380/220
Salinas da Margarida ,220/127
Salvador ,220/127
Santa Bárbara,380/220
Santa Brígida ,380/220
Santa Cruz Cabrália ,380/220
Santa Cruz da Vitória ,220/127
Santa Inês ,220/127
Santa Luzia ,220/127
Santa Maria da Vitória ,380/220
Santa Rita de Cássia ,380/220
Santa Teresinha,380/220
Santaluz ,220/127
Santana ,220/127
Santanópolis ,220/127
Santo Amaro ,220/127
Santo Antônio de Jesus ,220/127
Santo Estêvão ,220/127
São Desidério ,380/220
São Domingos ,380/220
São Felipe,220/127
São Félix ,220/127
São Félix do Coribe ,220/127
